"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"483",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"484",2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
"486",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2
"497",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"504",1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"508",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"513",1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"518",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"519",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"540",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"542",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"545",1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
"549",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"554",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"561",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"563",1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2
"567",2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"568",2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2
"572",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"580",2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2
"589",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2
"592",1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2
